title	isbn	author_first_name	author_last_name	author_website	publisher	publication_year	acquisition_date	acquisition_price
Issue Effect Reach	0-10-490081-4	Valerie	Koch	http://koch.com	Bailey-Norman	1930	1947-06-09	$7.11
Issue Effect Reach	0-10-490081-4	Valerie	Koch	http://koch.com	Bailey-Norman	1930	1930-03-27	$11.39
Six Get Grow Some	1-09-478490-7	Timothy	Rivera		Ruiz, Herrera and Knox	1911	1952-04-05	$6.22
Six Get Grow Some	0-8038-8897-X	Timothy	Rivera		Ruiz, Herrera and Knox	1985	1989-09-29	$10.96
Next Game Laugh Stage	0-09-867649-0	Richard	Weaver	https://weaver.com	Greene, Patel and Kent	1954	2002-08-12	$2.50
Next Game Laugh Stage	0-09-867649-0	Richard	Weaver	https://weaver.com	Greene, Patel and Kent	1954	1997-01-06	$1.20
Next Game Laugh Stage	0-09-867649-0	Richard	Weaver	https://weaver.com	Greene, Patel and Kent	1954	1980-08-09	$7.71
Parent Lead Guess	1-150-14842-X	David	Cantu		Bailey-Norman	2019	2021-02-02	$9.42
Parent Lead Guess	1-150-14842-X	David	Cantu		Bailey-Norman	2019	2020-10-26	$8.66
Money Strong War	1-79553-508-3	Nancy	Fowler		Ruiz, Herrera and Knox	1902	2007-10-02	$4.80
Money Strong War	1-79553-508-3	Nancy	Fowler		Ruiz, Herrera and Knox	1902	1930-05-12	$8.24
Money Strong War	1-81658-054-6	Nancy	Fowler		Ruiz, Herrera and Knox	1934	1956-02-29	$0.84
Money Strong War	1-81658-054-6	Nancy	Fowler		Ruiz, Herrera and Knox	1934	1988-12-01	$13.26
Money Strong War	1-84569-500-3	Nancy	Fowler		Ruiz, Herrera and Knox	2000	2017-05-09	$3.44
Executive In Politics And	0-444-35750-5	Cassandra	Morrison	https://morrison.info	Abbott Group	1992	2015-03-16	$8.63
Cell I Born	1-4528-6190-0	Sherri	Riley	https://sherririley.com	Obrien-Martin	1951	1991-02-01	$1.33
Cell I Born	1-4528-6190-0	Sherri	Riley	https://sherririley.com	Obrien-Martin	1951	1998-03-06	$14.67
Cell I Born	1-4528-6190-0	Sherri	Riley	https://sherririley.com	Obrien-Martin	1951	2014-09-30	$11.11
Cell I Born	1-4528-6190-0	Sherri	Riley	https://sherririley.com	Obrien-Martin	1951	1968-02-18	$12.57
Cut Argue Any Vote	1-886974-55-1	Pamela	Barber	https://barber.com	Obrien-Martin	1997	2008-01-02	$6.10
Month Other Learn Series	0-7437-0371-5	Derrick	Thomas		Hughes PLC	1916	1982-04-18	$1.96
Shoulder Collection Reduce	0-694-36186-0	Denise	Alvarez		Ruiz, Herrera and Knox	1919	1946-03-01	$6.78
Shoulder Collection Reduce	0-694-36186-0	Denise	Alvarez		Ruiz, Herrera and Knox	1919	1968-01-09	$9.17
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	2022-01-08	$11.15
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	1985-07-10	$5.15
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	1987-08-27	$7.25
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	1997-09-28	$12.66
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	2007-07-29	$8.32
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	2018-09-21	$6.83
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	1995-09-14	$9.95
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	1987-01-15	$13.35
Agent Write Share Customer	0-9660949-8-0	Timothy	Johnson	https://timothyjohnson.com	Abbott Group	1985	2005-06-09	$13.65
Talk Article Thus	0-05-666221-1	Richard	Weaver	https://weaver.com	Hughes PLC	2008	2009-07-21	$1.34
Talk Article Thus	0-05-666221-1	Richard	Weaver	https://weaver.com	Hughes PLC	2008	2012-10-16	$2.20
Talk Article Thus	0-05-666221-1	Richard	Weaver	https://weaver.com	Hughes PLC	2008	2009-02-23	$5.69
Talk Article Thus	0-05-666221-1	Richard	Weaver	https://weaver.com	Hughes PLC	2008	2011-11-29	$0.64
Development Buy Interesting	0-11-367074-5	Bill	Edwards	https://billedwards.com	Greene, Patel and Kent	2021	2021-05-03	$10.39
Development Buy Interesting	0-11-367074-5	Bill	Edwards	https://billedwards.com	Greene, Patel and Kent	2021	2022-03-25	$10.72
Spring Very Choice	0-223-13221-7	Aaron	Rivera	https://aaronrivera.com	Lane-Travis	1924	1992-03-09	$10.70
Manager Have Apply Score	1-75814-958-2	Darren	Sullivan	https://sullivan.com	Morales-Nguyen	1946	1961-08-31	$0.91
Try Sea Which Appear	0-334-83792-8	Dorothy	Savage	http://dorothysavage.org	Abbott Group	1959	2012-02-07	$10.70
Gas Many Common Sometimes	0-338-51852-5	Steven	Knight		Ruiz, Herrera and Knox	1981	1981-12-19	$11.31
Page Single Security Parent	1-62970-218-8	Brandy	Lee	https://lee.com	Obrien-Martin	2018	2021-01-14	$3.04
Page Single Security Parent	1-62970-218-8	Brandy	Lee	https://lee.com	Obrien-Martin	2018	2020-03-28	$12.50
Page Single Security Parent	1-62970-218-8	Brandy	Lee	https://lee.com	Obrien-Martin	2018	2022-02-12	$7.50
Statement Too Dream	0-589-53233-2	Valerie	Koch	http://koch.com	Ruiz, Herrera and Knox	1953	1992-08-11	$5.33
Statement Too Dream	0-589-53233-2	Valerie	Koch	http://koch.com	Ruiz, Herrera and Knox	1953	2003-06-11	$3.99
Begin Stock Shoulder	1-124-42196-3	Crystal	Moore	https://moore.com	Lane-Travis	1947	1957-04-16	$2.26
Begin Stock Shoulder	1-124-42196-3	Crystal	Moore	https://moore.com	Lane-Travis	1947	2021-03-20	$5.72
Begin Stock Shoulder	1-124-42196-3	Crystal	Moore	https://moore.com	Lane-Travis	1947	1974-05-20	$5.00
Begin Stock Shoulder	1-124-42196-3	Crystal	Moore	https://moore.com	Lane-Travis	1947	2019-06-22	$5.28
Task Job Authority	0-10-258219-X	Nicholas	Williams		Bailey-Norman	2009	2011-12-07	$4.95
Task Job Authority	0-10-258219-X	Nicholas	Williams		Bailey-Norman	2009	2019-09-12	$13.71
House This Between Director	1-69855-468-0	Travis	Munoz		Ruiz, Herrera and Knox	1982	2014-03-04	$3.00
House This Between Director	1-69855-468-0	Travis	Munoz		Ruiz, Herrera and Knox	1982	2010-12-23	$6.95
Pretty Front Sing	0-05-622346-3	Jennifer	Morgan	https://morgan.com	Greene, Patel and Kent	2010	2011-06-14	$12.00
Pretty Front Sing	0-05-622346-3	Jennifer	Morgan	https://morgan.com	Greene, Patel and Kent	2010	2022-02-09	$2.62
Pretty Front Sing	1-9990762-9-X	Jennifer	Morgan	https://morgan.com	Hughes PLC	2010	2015-07-04	$1.01
Decide Factor Forward	0-435-58433-2	Samantha	Trevino	https://trevino.com	Abbott Group	2012	2013-12-22	$7.95
Decide Factor Forward	0-435-58433-2	Samantha	Trevino	https://trevino.com	Abbott Group	2012	2016-04-29	$3.35
Between Ready Different	0-12-511091-X	Vanessa	Kelly	https://kelly.org	Abbott Group	1986	1999-06-15	$14.43
Between Ready Different	0-533-16245-9	Vanessa	Kelly	https://kelly.org	Newman Inc	2001	2004-01-11	$14.87
Between Ready Different	0-533-16245-9	Vanessa	Kelly	https://kelly.org	Newman Inc	2001	2007-09-13	$5.38
Between Ready Different	0-533-16245-9	Vanessa	Kelly	https://kelly.org	Newman Inc	2001	2020-04-28	$10.43
Size Others On Democratic	1-79158-429-2	David	Cruz	https://cruz.biz	Ruiz, Herrera and Knox	1928	1969-11-14	$7.94
Size Others On Democratic	1-02-074704-8	David	Cruz	https://cruz.biz	Ruiz, Herrera and Knox	1992	2013-01-03	$14.18
Size Others On Democratic	1-02-074704-8	David	Cruz	https://cruz.biz	Ruiz, Herrera and Knox	1992	2014-02-01	$5.80
Size Others On Democratic	1-02-074704-8	David	Cruz	https://cruz.biz	Ruiz, Herrera and Knox	1992	1996-01-19	$6.26
Size Others On Democratic	1-02-074704-8	David	Cruz	https://cruz.biz	Ruiz, Herrera and Knox	1992	1995-06-11	$0.39
Ago Pretty Support Various	0-222-45691-4	Jason	Rodriguez	https://rodriguez.com	Ruiz, Herrera and Knox	1914	1952-03-15	$5.41
Hold Hit Try Allow	1-56498-911-9	Crystal	Miller		Ruiz, Herrera and Knox	1978	1996-07-23	$0.35
Hold Hit Try Allow	1-57411-644-4	Crystal	Miller		Kerr, Hunter and Andrews	2004	2018-02-14	$5.90
Hold Hit Try Allow	1-57411-644-4	Crystal	Miller		Kerr, Hunter and Andrews	2004	2014-10-30	$8.04
Hold Hit Try Allow	1-274-11317-2	Crystal	Miller		Bailey-Norman	2015	2016-11-24	$1.85
Difference Know Let Away	1-283-49982-7	Tonya	Kline	http://tonyakline.com	Ruiz, Herrera and Knox	2010	2020-05-13	$11.49
Difference Know Let Away	1-283-49982-7	Tonya	Kline	http://tonyakline.com	Ruiz, Herrera and Knox	2010	2020-09-08	$2.59
Difference Know Let Away	1-952094-27-5	Tonya	Kline	http://tonyakline.com	Ruiz, Herrera and Knox	2019	2021-01-16	$9.93
Difference Know Let Away	1-61158-505-8	Tonya	Kline	http://tonyakline.com	Ruiz, Herrera and Knox	2021	2022-03-09	$1.29
Glass Yeah Mouth Street	1-166-40949-X	Nathan	Donaldson	https://nathandonaldson.biz	Abbott Group	1970	1976-11-04	$10.40
Glass Yeah Mouth Street	1-60319-934-9	Nathan	Donaldson	https://nathandonaldson.biz	Abbott Group	1996	1998-09-10	$9.26
Report Huge Trip	1-971036-68-4	Sierra	Escobar	https://sierraescobar.org	Ruiz, Herrera and Knox	1972	1985-04-14	$5.15
Report Huge Trip	0-9804860-5-X	Sierra	Escobar	https://sierraescobar.org	Ruiz, Herrera and Knox	2016	2019-04-08	$1.35
Place Off If Fact	1-5047-8594-0	Stephanie	Jones	https://jones.com	Bailey-Norman	2006	2017-09-07	$1.56
Place Off If Fact	1-5047-8594-0	Stephanie	Jones	https://jones.com	Bailey-Norman	2006	2022-06-30	$6.00
Place Off If Fact	1-5047-8594-0	Stephanie	Jones	https://jones.com	Bailey-Norman	2006	2009-09-19	$8.67
Rest Read Magazine Rate	1-76143-016-5	Deborah	Gibbs		Hughes PLC	1992	1999-08-21	$5.46
Rest Read Magazine Rate	1-76143-016-5	Deborah	Gibbs		Hughes PLC	1992	2019-07-18	$10.99
Impact Respond Store Find	1-899471-51-0	Adam	Perez	https://perez.com	Bailey-Norman	1952	1996-02-12	$7.67
Impact Respond Store Find	1-4971-4363-2	Adam	Perez	https://perez.com	Bailey-Norman	2008	2021-12-09	$6.44
Amount State Defense Economy	0-16-714278-X	Richard	Weaver	https://weaver.com	Obrien-Martin	1970	2008-11-22	$4.97
Amount State Defense Economy	0-16-714278-X	Richard	Weaver	https://weaver.com	Obrien-Martin	1970	1996-06-06	$14.46
Claim Key Step Happen My	1-78668-698-8	Lisa	Campbell		Hughes PLC	2016	2020-04-06	$12.89
Claim Key Step Happen My	1-78668-698-8	Lisa	Campbell		Hughes PLC	2016	2020-07-29	$1.14
Claim Key Step Happen My	1-78668-698-8	Lisa	Campbell		Hughes PLC	2016	2018-04-15	$1.34
Fund Again School Position	0-7897-4666-2	Matthew	Brown		Obrien-Martin	1928	1965-08-10	$13.49
Fund Again School Position	0-7897-4666-2	Matthew	Brown		Obrien-Martin	1928	1954-09-08	$12.53
Fund Again School Position	0-7897-4666-2	Matthew	Brown		Obrien-Martin	1928	1997-07-30	$10.52
Owner Town Project Explain	1-4813-7943-7	Amber	Anderson	https://amberanderson.com	Hughes PLC	2015	2015-04-09	$11.39
Owner Town Project Explain	1-4813-7943-7	Amber	Anderson	https://amberanderson.com	Hughes PLC	2015	2015-07-21	$9.38
Choose Wear Attack Myself	1-86796-083-4	Jeffery	Lopez	https://lopez.com	Faulkner-Taylor	1904	1907-12-06	$13.53
Glass Peace Account	1-5398-3011-X	Carlos	Houston	https://carloshouston.org	Hughes PLC	1963	1973-06-18	$6.97
Hour Best Kind Capital Might	1-7358291-9-6	Amber	Anderson	https://amberanderson.com	Ruiz, Herrera and Knox	1952	1965-04-18	$2.91
Site Risk End Help Accept	1-970993-19-7	Alisha	Foster		Obrien-Martin	1921	1937-07-04	$4.31
Site Risk End Help Accept	1-970993-19-7	Alisha	Foster		Obrien-Martin	1921	1945-04-25	$3.41
Site Risk End Help Accept	1-970993-19-7	Alisha	Foster		Obrien-Martin	1921	1989-09-03	$7.59
Science Argue Act Particular	0-503-63628-2	Lee	Gaines	http://gaines.info	Lane-Travis	1936	2008-06-21	$4.71
Trial Unit Mrs Live	0-616-51182-5	Luis	Williams		Hughes PLC	1960	2005-09-24	$12.90
Trial Unit Mrs Live	0-616-51182-5	Luis	Williams		Hughes PLC	1960	1971-08-26	$3.78
Trial Unit Mrs Live	0-616-51182-5	Luis	Williams		Hughes PLC	1960	2008-03-25	$14.01
Already Purpose Upon Hot	1-949182-67-3	Nichole	Mcpherson	https://mcpherson.com	Lane-Travis	1937	1956-05-18	$11.16
Already Purpose Upon Hot	1-949182-67-3	Nichole	Mcpherson	https://mcpherson.com	Lane-Travis	1937	1958-09-26	$0.99
Already Purpose Upon Hot	1-949182-67-3	Nichole	Mcpherson	https://mcpherson.com	Lane-Travis	1937	2021-10-21	$6.02
While Hundred Role	0-86052-726-3	Brandon	Ellison	https://brandonellison.info	Hughes PLC	1944	2014-05-03	$6.58
While Hundred Role	0-86052-726-3	Brandon	Ellison	https://brandonellison.info	Hughes PLC	1944	2021-06-10	$8.69
While Hundred Role	0-86052-726-3	Brandon	Ellison	https://brandonellison.info	Hughes PLC	1944	1963-05-17	$3.61
While Hundred Role	0-86052-726-3	Brandon	Ellison	https://brandonellison.info	Hughes PLC	1944	2017-08-11	$12.91
While Hundred Role	0-86052-726-3	Brandon	Ellison	https://brandonellison.info	Hughes PLC	1944	1958-07-28	$4.40
While Hundred Role	0-246-20500-8	Brandon	Ellison	https://brandonellison.info	Hughes PLC	2004	2018-01-02	$9.06
While Hundred Role	0-246-20500-8	Brandon	Ellison	https://brandonellison.info	Hughes PLC	2004	2015-01-24	$13.25
While Hundred Role	0-246-20500-8	Brandon	Ellison	https://brandonellison.info	Hughes PLC	2004	2019-01-24	$13.50
Gas College Serve Treatment	1-84267-516-8	Beth	Garcia	https://bethgarcia.org	Abbott Group	1977	1978-04-27	$4.50
Gas College Serve Treatment	1-84267-516-8	Beth	Garcia	https://bethgarcia.org	Abbott Group	1977	2001-08-23	$10.17
Land School Nearly	1-77728-557-7	Darren	Sullivan	https://sullivan.com	Morales-Nguyen	1987	2022-04-19	$2.74
Particularly Field Probably	1-237-89545-6	Robert	Arroyo	https://robertarroyo.com	Kerr, Hunter and Andrews	1973	2013-05-25	$1.72
Particularly Field Probably	1-237-89545-6	Robert	Arroyo	https://robertarroyo.com	Kerr, Hunter and Andrews	1973	2009-09-01	$11.23
Particularly Field Probably	1-237-89545-6	Robert	Arroyo	https://robertarroyo.com	Kerr, Hunter and Andrews	1973	1975-09-19	$10.67
Table Trade She	1-02-945496-5	Michael	Carr	https://michaelcarr.com	Bailey-Norman	1997	2021-05-25	$6.43
Table Trade She	1-02-945496-5	Michael	Carr	https://michaelcarr.com	Bailey-Norman	1997	1997-10-28	$5.85
Recent Worry Recent Site	0-416-51538-X	Scott	Harrison	https://harrison.org	Abbott Group	2017	2019-07-26	$9.10
Speech Man Future	0-7526-5927-8	Denise	Chavez	https://chavez.net	Ruiz, Herrera and Knox	1910	2000-12-27	$14.52
Speech Man Future	0-7526-5927-8	Denise	Chavez	https://chavez.net	Ruiz, Herrera and Knox	1910	1987-09-28	$11.53
Speech Man Future	0-7526-5927-8	Denise	Chavez	https://chavez.net	Ruiz, Herrera and Knox	1910	1967-11-22	$8.88
Four Star Physical	1-107-04963-6	Jason	Rodriguez	https://rodriguez.com	Hughes PLC	1928	1968-07-15	$8.30
Share Rule Many	1-4136-2684-X	Lisa	Campbell		Newman Inc	2015	2020-12-08	$4.25
Local Suggest Majority For	0-666-30967-1	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2011	2019-06-16	$13.29
Local Suggest Majority For	0-666-30967-1	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2011	2017-05-11	$11.22
Local Suggest Majority For	0-666-30967-1	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2011	2013-11-28	$5.90
Local Suggest Majority For	0-666-30967-1	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2011	2019-08-18	$4.90
Local Suggest Majority For	0-666-30967-1	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2011	2022-06-11	$5.70
Local Suggest Majority For	0-666-30967-1	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2011	2015-07-30	$14.73
Local Suggest Majority For	0-06-971271-9	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2018	2021-09-16	$2.05
Local Suggest Majority For	0-06-971271-9	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2018	2021-09-29	$2.84
Local Suggest Majority For	0-06-971271-9	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2018	2021-04-01	$7.79
Local Suggest Majority For	1-4266-7392-2	Maria	Nguyen	http://marianguyen.com	Ruiz, Herrera and Knox	2019	2020-09-10	$4.55
Though Off Foot	1-59539-566-0	Jeremiah	Chase	https://jeremiahchase.com	Ruiz, Herrera and Knox	2004	2018-06-23	$12.96
Later Check Probably No	0-08-259653-0	Darren	Sullivan	https://sullivan.com	Hughes PLC	1968	1997-02-17	$0.83
Later Check Probably No	0-08-259653-0	Darren	Sullivan	https://sullivan.com	Hughes PLC	1968	1978-07-30	$8.19
Later Check Probably No	0-08-259653-0	Darren	Sullivan	https://sullivan.com	Hughes PLC	1968	1988-09-30	$2.35
Later Check Probably No	0-08-259653-0	Darren	Sullivan	https://sullivan.com	Hughes PLC	1968	1987-07-20	$14.67
Every Hotel Make Language	0-390-74035-7	Javier	Schmidt	https://javierschmidt.com	Faulkner-Taylor	2008	2016-07-19	$3.68
Every Hotel Make Language	0-390-74035-7	Javier	Schmidt	https://javierschmidt.com	Faulkner-Taylor	2008	2021-12-28	$1.12
Every Hotel Make Language	0-390-74035-7	Javier	Schmidt	https://javierschmidt.com	Faulkner-Taylor	2008	2021-07-18	$14.77
Every Hotel Make Language	0-7189-6189-7	Javier	Schmidt	https://javierschmidt.com	Faulkner-Taylor	2014	2018-08-07	$13.61
Every Hotel Make Language	0-7189-6189-7	Javier	Schmidt	https://javierschmidt.com	Faulkner-Taylor	2014	2014-03-12	$13.31
Himself Center Ready Guy Ok	1-69838-634-6	Jeffery	Lane	http://lane.com	Greene, Patel and Kent	1996	2017-11-06	$11.64
Himself Center Ready Guy Ok	1-84811-454-0	Jeffery	Lane	http://lane.com	Ruiz, Herrera and Knox	2001	2017-02-06	$8.76
Himself Center Ready Guy Ok	1-84811-454-0	Jeffery	Lane	http://lane.com	Ruiz, Herrera and Knox	2001	2010-01-21	$10.09
Himself Center Ready Guy Ok	1-84811-454-0	Jeffery	Lane	http://lane.com	Ruiz, Herrera and Knox	2001	2017-12-10	$13.28
Himself Center Ready Guy Ok	1-84811-454-0	Jeffery	Lane	http://lane.com	Ruiz, Herrera and Knox	2001	2013-09-25	$6.12
Himself Center Ready Guy Ok	1-84811-454-0	Jeffery	Lane	http://lane.com	Ruiz, Herrera and Knox	2001	2017-07-10	$7.02
Himself Center Ready Guy Ok	1-84811-454-0	Jeffery	Lane	http://lane.com	Ruiz, Herrera and Knox	2001	2006-05-12	$4.95
Lawyer Work Office Film	0-8001-0350-5	Robert	Hicks	http://hicks.biz	Newman Inc	1972	1986-03-05	$7.90
Lawyer Work Office Film	0-8001-0350-5	Robert	Hicks	http://hicks.biz	Newman Inc	1972	1993-01-31	$9.66
Lawyer Work Office Film	0-8001-0350-5	Robert	Hicks	http://hicks.biz	Newman Inc	1972	2021-03-26	$1.85
Lawyer Work Office Film	0-8001-0350-5	Robert	Hicks	http://hicks.biz	Newman Inc	1972	1994-05-09	$13.62
Upon Public Company Cell	0-9806778-5-8	Katrina	Cox	http://katrinacox.org	Abbott Group	1921	1929-10-18	$15.00
Again Opportunity Writer	0-07-423960-0	Samuel	Martinez	https://samuelmartinez.org	Ruiz, Herrera and Knox	1949	1991-10-16	$13.54
Again Opportunity Writer	0-07-423960-0	Samuel	Martinez	https://samuelmartinez.org	Ruiz, Herrera and Knox	1949	1965-06-09	$7.35
Again Opportunity Writer	0-07-423960-0	Samuel	Martinez	https://samuelmartinez.org	Ruiz, Herrera and Knox	1949	2018-06-28	$6.19
Again Opportunity Writer	0-210-13412-7	Samuel	Martinez	https://samuelmartinez.org	Hughes PLC	2003	2007-04-15	$14.45
Again Opportunity Writer	1-379-70903-2	Samuel	Martinez	https://samuelmartinez.org	Faulkner-Taylor	2010	2013-07-20	$0.09
Again Opportunity Writer	1-379-70903-2	Samuel	Martinez	https://samuelmartinez.org	Faulkner-Taylor	2010	2021-10-13	$10.29
Same Plant Fine Movement	1-121-49111-1	Emma	Woods	https://woods.info	Lane-Travis	1910	1926-06-25	$7.58
Same Plant Fine Movement	1-121-49111-1	Emma	Woods	https://woods.info	Lane-Travis	1910	1957-02-23	$13.59
Same Plant Fine Movement	1-121-49111-1	Emma	Woods	https://woods.info	Lane-Travis	1910	1961-04-20	$9.04
Guy Do Friend Travel Prove	1-9773-7649-5	Katherine	Moore	https://moore.com	Abbott Group	1973	2015-08-29	$13.97
Guy Do Friend Travel Prove	1-9773-7649-5	Katherine	Moore	https://moore.com	Abbott Group	1973	2010-08-18	$13.51
Day Thus Prevent Four	1-934640-77-8	Matthew	Marsh	http://marsh.com	Huffman-Garcia	1915	1934-06-02	$13.92
Day Thus Prevent Four	1-934640-77-8	Matthew	Marsh	http://marsh.com	Huffman-Garcia	1915	1977-11-14	$1.99
Capital Week Full News Final	0-209-23726-0	Jacob	Rios	https://rios.com	Hughes PLC	1923	1971-07-23	$6.33
Capital Week Full News Final	0-209-23726-0	Jacob	Rios	https://rios.com	Hughes PLC	1923	1990-11-01	$0.73
Family Center Although	1-55022-696-7	Ryan	Matthews	https://ryanmatthews.org	Obrien-Martin	1965	1969-05-08	$5.51
As Fact Billion Low Compare	1-997048-56-6	Beth	Garcia	https://bethgarcia.org	Hawkins-Jackson	1921	1931-05-28	$5.88
As Fact Billion Low Compare	1-997048-56-6	Beth	Garcia	https://bethgarcia.org	Hawkins-Jackson	1921	1950-01-22	$5.31
Personal Sign Guy None Home	0-19-450820-X	Tyler	King	https://king.biz	Greene, Patel and Kent	2009	2016-08-17	$1.14
Personal Sign Guy None Home	0-560-57419-3	Tyler	King	https://king.biz	Greene, Patel and Kent	2010	2019-10-12	$11.85
Personal Sign Guy None Home	0-560-57419-3	Tyler	King	https://king.biz	Greene, Patel and Kent	2010	2013-04-17	$12.74
Personal Sign Guy None Home	0-560-57419-3	Tyler	King	https://king.biz	Greene, Patel and Kent	2010	2021-09-01	$11.14
Personal Sign Guy None Home	0-560-57419-3	Tyler	King	https://king.biz	Greene, Patel and Kent	2010	2010-12-23	$8.95
Personal Sign Guy None Home	0-560-57419-3	Tyler	King	https://king.biz	Greene, Patel and Kent	2010	2020-02-23	$7.00
Hundred Cut Each Happen	1-375-56492-7	Cindy	Quinn	https://quinn.com	Abbott Group	1941	1963-10-22	$7.50
Hundred Cut Each Happen	1-375-56492-7	Cindy	Quinn	https://quinn.com	Abbott Group	1941	1966-07-21	$4.60
