id	Title	Author Last Name	Author First Name	Author Website	Publisher	Publication Year	Media	Page Count	Languages	LC Classification	ISBN	Dewey Decimal	Dewey Wording	Barcode	Acquisition Date	Acquisition Price
14	The Two Princesses of Bamarre	Levine	Gail Carson	https://gailcarsonlevine.com/	HarperCollins	2001	Hardcover	256	English	PZ7.L578345 T	0060293152	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	9A3FA4C2E20EA7FAF3FF2EC3FC0D363C	2018-09-12	10.93
15	The Two Princesses of Bamarre	Levine	Gail Carson	https://gailcarsonlevine.com/	HarperCollins	2001	Hardcover	256	English	PZ7.L578345 T	0060293152	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	DD2CB760EB51CADC18AFFB05074A7E6A	2021-04-15	9.59
16	One Flew Over the Cuckoo's Nest	Kesey	Ken		Signet	1963	Paperback	272	English	PS3561.E667 O5	0451163966	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	4DC203554C25AFCE6C6C7D825C272041	2008-06-16	16.60
17	Permanent Record	Snowden	Edward		Metropolitan Books	2019	Hardcover	352	English	JF1525.W45 S655	1250237238	327.12730092	Espionage and subversion > Foreign policy and specific topics in international relations > International Relations > North America > Political Science  > Social sciences > United States	53DEF2C9808BF8FE372639C187874B94	2020-10-03	12.16
18	Fractals: The Patterns of Chaos: Discovering a New Aesthetic of Art, Science, and Nature	Briggs	John		Simon & Schuster	1992	Paperback	192	English	QA614 .B75	0671742175	514.74	Analytic Topology > Fractals > Mathematics > Natural sciences and mathematics > Topology	98BCE5569C9F4B9DB798C53CBB499EBE	1995-08-25	13.33
19	Fractals: The Patterns of Chaos: Discovering a New Aesthetic of Art, Science, and Nature	Briggs	John		Simon & Schuster	1999	Paperback	192	English	QA614 .B75	5424562693	514.74	Analytic Topology > Fractals > Mathematics > Natural sciences and mathematics > Topology	4237D86DCE37EFF4339740777CA451AD	2020-04-11	15.98
20	Trains	Barton	Byron		T.Y. Crowell Junior Books	1986	Hardcover	32	English	TF148 .B27	0694000612	385.37	Commerce, Communications, Transportation > Facilities and vehicles > Social sciences > Trains and Railroads	D4151FB09A46D0DF900A12F135217710	1999-06-24	5.75
21	Blue Highways: A Journey into America	Heat-Moon	William Least		Back Bay Books	1999	Paperback	448	English	E169.Z8	0316353299	917.304927	Geography and Travel > History and Geography > North America > Travel > United States	A10B0771DF78374DC30C8DCC343F4838	1999-10-26	13.34
22	Nemesis Games	Corey	James S.A.	https://www.jamessacorey.com/	Orbit	2015	Hardcover	544	English	PS3601.B677 N46	0316217581	813.6	21st Century > American fiction > English (North America) > Literature	FDAF6B15BBEE52BC461F9E821A696656	2021-06-22	17.07
23	The Creeping Shadow	Stroud	Jonathan	http://jonathanstroud.com/	Disney-Hyperion	2016	Hardcover	464	English	PZ7.S92475 C	1484709675	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	07E73215CEDFE950B6DF2B8609474A27	2022-04-08	19.83
24	The Tales of Beedle the Bard: The Illustrated Edition	Rowling	J. K.	https://jkrowling.com/	Arthur A. Levine Books	2018	Hardcover	160	English	PZ7.R79835	9781338262186	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	932B8DF68552B73C5014BB9300D3CF0B	2022-02-22	12.99
25	Orsinian tales	Le Guin	Ursula K.	https://www.ursulakleguin.com/	Bantam Books	1977	Paperback		English	PS3562.E42 O75	0553107054	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	721C9F649E918A51667D13FBC0880102	1977-04-30	6.79
26	Orsinian tales	Le Guin	Ursula K.	https://www.ursulakleguin.com/	Bantam Books	1977	Paperback		English	PS3562.E42 O75	0553107054	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	6BC5EA448222E24716AA8901EB9669D9	1992-11-03	7.12
27	Fly Trap	Hardinge	Frances	http://www.franceshardinge.com/	HarperCollins	2011	Hardcover	592	English	PZ7.H21834 F	0060880449	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	D46F500EFF7D8CB2D0F2D2CDFCF08665	2020-05-02	7.52
28	The Call of the Wild	London	Jack		Aerie	1990	Paperback	128	English	PS3523.O46 C3	0812504321	813.52	1900-1944 > 20th Century > American fiction > English (North America) > Literature	54CC7E698A6A8803F8A8DDB66EC4C3A8	2000-06-06	6.73
29	Ship of Destiny	Hobb	Robin	http://www.robinhobb.com/	Spectra	2000	Hardcover	592	English	PS3558.O33636 S53	0553103237	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	1051A91C59374FECC031ED1C4FB3E367	2010-02-20	17.85
30	The User Experience Team of One: A Research and Design Survival Guide	Buley	Leah		Rosenfeld Media	2013	Paperback	246	English	QA76.U83 B86	1933820187	4.019	Computer Interaction With Humans > Computer science > Computer science -- subdivisions > Computing and Information > Information > Theory And Instruction	9E5CED8CA886DCB8FEDD508AFE16D4F3	2014-09-14	13.05
31	The Remarkable Journey of Prince Jen	Alexander	Lloyd		Dutton Juvenile	1991	Hardcover	273	English	PZ7.A3774 R	0525448268	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	2D62989592DF324BCDB5BF7DADA31C18	2004-08-22	5.37
32	Rome's Italian Wars: Books 6-10	Livy			Oxford University Press	2013	Paperback		English	PA6452 .A5	019956485X	937.01	Ancient World > History and Geography > Italian Peninsula to 476 and adjacent territories to 476 > Italian Peninsula to 476 and adjacent territories to 476 > Kings 753-509 B.C.	A8ECA6F91CE65709CD421596FE971A98	2022-08-17	5.47
33	Rome's Italian Wars: Books 6-10	Livy			Oxford University Press	2013	Paperback		English	PA6452 .A5	019956485X	937.01	Ancient World > History and Geography > Italian Peninsula to 476 and adjacent territories to 476 > Italian Peninsula to 476 and adjacent territories to 476 > Kings 753-509 B.C.	3D41CCD553D92F2D121BF806E15E79A4	2017-04-15	19.81
34	Rome's Italian Wars: Books 6-10	Livy			Oxford University Press	2013	Paperback		English	PA6452 .A5	019956485X	937.01	Ancient World > History and Geography > Italian Peninsula to 476 and adjacent territories to 476 > Italian Peninsula to 476 and adjacent territories to 476 > Kings 753-509 B.C.	D81260658E43863A1AFB862A74828287	2017-10-26	9.04
35	As We Saw Them: The First Japanese Embassy to the United States	Miyoshi	Masao		Kodansha USA	1994	Paperback		English	E183.J3 M57	1568360282	303.48	Causes of change > Social Processes > Social Sciences > Social change > Social sciences	991379BFEAFA083ABC6E05DBB301870E	2008-04-14	9.98
36	Jane Eyre	Bronte	Charlotte		Rupa & Co.	2001	Paperback	514	English	PR4167	8171675026	823.8	English fiction > English {except North American} > Literature > Victorian period 1837-1900	26ED614A8A7CA35E55F37360CF0B99B6	2020-09-22	17.40
37	Mistborn: Secret History	Sanderson	Brandon	https://www.brandonsanderson.com/	Tor Books	2022	Hardcover	240	English	PS3619.A533	125085914X	813.6	21st Century > American fiction > English (North America) > Literature	1812CDCB4CC8D6A27EEC3C9E77403F5C	2022-11-20	7.92
38	Mistborn: Secret History	Sanderson	Brandon	https://www.brandonsanderson.com/	Tor Books	2022	Hardcover	240	English	PS3619.A533	125085914X	813.6	21st Century > American fiction > English (North America) > Literature	66E4AD1674C44D4AD7EF55F1BDD3F1CD	2022-03-11	7.66
39	The Interpretation of Dreams	Freud	Sigmund		Avon	1980	Paperback	736	English	BF1078 .F72	0380010003	150	Philosophy and Psychology > Psychology > Psychology	EBF785AEC5C2CAF5089804C05505DFBF	1999-07-18	13.88
40	The Rithmatist	Sanderson	Brandon	https://www.brandonsanderson.com/	Tor Teen	2013	Hardcover	384	English	PZ7.S19797 R	0765320320	813.7	American fiction > English (North America) > Literature	BFDAE0C94668525BDB388800D198AD96	2018-07-17	6.21
41	The Curse of Chalion	Bujold	Lois McMaster	http://www.dendarii.com/	HarperTorch	2002	Paperback	512	English	PS3552.U397 C87	0380818604	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	18847B295D78AE8C5BF0C45D3614908A	2013-09-14	10.92
42	Watership Down	Adams	Richard		Scribner	1996	Hardcover	448	English	PZ10.A197	068483605X	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	BA3461E04FB1C433176DEA6BF0DD10BB	2012-08-24	6.34
43	Watership Down	Adams	Richard		Scribner	2001	Hardcover	448	English	PZ10.A197	2473060022	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	140E2B76D2D493A794EF0FB145F2C88B	2009-12-18	17.51
44	Best Served Cold	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2010	Paperback	899	English	PR6101.B49 B47	0316044954	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	70D3EFD5BF6DACB7603998C0D520A707	2018-09-29	11.51
45	Best Served Cold	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2010	Paperback	899	English	PR6101.B49 B47	0316044954	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	3565FE5CCCBE63634DF43987D6F7885B	2012-12-15	6.00
46	xkcd: volume 0	Munroe	Randall	https://xkcd.com/	Breadpig	2010	Paperback	120	English	NC1429.M86	0615314465	741	Drawing &  drawings > Graphic arts and decorative arts > The arts	C5BCA8D0480557FE1A2586F7BE24D63F	2014-09-16	9.15
47	Prelude to Foundation	Asimov	Isaac		Spectra	1991	Paperback	528	English	PS3551.S5 P7	0553278398	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	48F8947F65431EBB4E06B7DAF40572A5	2007-04-14	14.98
48	Boy: Tales of Childhood	Dahl	Roald	https://www.roalddahl.com/	Puffin	1999	Paperback	176	English	PR6054.A35 Z	0141303050	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	ED802925F6A8A443502124BDE8F4F2BE	2015-09-30	8.97
49	Heroic Hearts	Butcher	Jim	https://www.jim-butcher.com/	Ace Books	2022	Paperback	368	English	PS648.F3 H47	0593099184	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction	0726D0D773C5B029EEE7F2E0975012DC	2022-01-27	15.86
50	Heroic Hearts	Butcher	Jim	https://www.jim-butcher.com/	Ace Books	2022	Paperback	368	English	PS648.F3 H47	0593099184	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction	2C6304D7C15ED37791D43CE37C541551	2022-05-18	5.69
77	Piranesi	Clarke	Susanna		Bloomsbury	2020	Hardcover	272	English	PR6103.L375	163557563X	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	1D65F305A2F93A73E5B332E51FC7B68E	2021-11-20	7.59
51	Heroic Hearts	Butcher	Jim	https://www.jim-butcher.com/	Ace Books	2022	Paperback	368	English	PS648.F3 H47	0593099184	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction	A0122DDDF034D815BBD0FE01D2C1BF8D	2022-06-14	19.14
52	Armada	Cline	Ernest	http://www.ernestcline.com/	Crown	2015	Hardcover	368	English	PS3603.L548 A89	0804137250	813.6	21st Century > American fiction > English (North America) > Literature	992A8C8B5BDFF9D55DEF541A0B1BF1A5	2018-05-24	14.87
53	Armada	Cline	Ernest	http://www.ernestcline.com/	Crown	2015	Hardcover	368	English	PS3603.L548 A89	0804137250	813.6	21st Century > American fiction > English (North America) > Literature	A6B36333A35070FEF1F96C5D4C8DF91B	2018-06-19	8.47
54	Armada	Cline	Ernest	http://www.ernestcline.com/	Crown	2015	Hardcover	368	English	PS3603.L548 A89	0804137250	813.6	21st Century > American fiction > English (North America) > Literature	13AE65BEAEA5CF3528EA29671F196E6D	2015-09-14	16.47
55	Lord of Chaos	Jordan	Robert		Tor Fantasy	1995	Paperback	1011	English	PS3560.O7617 L67	0812513754	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	75A7C81AC31D19CCFCFC16046E1AD567	1995-11-28	16.10
56	Lord of Chaos	Jordan	Robert		Tor Fantasy	1995	Paperback	1011	English	PS3560.O7617 L67	0812513754	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	358E0319CC00169847B866ED4AD78D74	2001-07-11	16.89
57	Thief of Time	Pratchett	Terry	http://terrypratchettbooks.com/	HarperTorch	2002	Paperback	384	English	PR6066.R34 T47	0061031321	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	8798A53CEF4C50B0CFCA92E04EE49607	2012-08-24	19.87
58	Tales of Neveryon	Delany	Samuel R.		Bantam Books	1979	Paperback	264	English	PS3554.E437 T3	0553123335	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	1FE9911B91B183FA5F4A1C3BF2B1E360	1988-05-15	18.70
59	Tales of Neveryon	Delany	Samuel R.		Bantam Books	1979	Paperback	264	English	PS3554.E437 T3	0553123335	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	9BCDE3D6E42B2EE43F53E84DE2D2F01F	2008-10-01	6.51
60	Curtain	Christie	Agatha	https://www.agathachristie.com/	Dodd, Mead	1975	Paper Book	238	English	PZ3.C4637PR6005.H66Cu3	0396071910	823/.9/12	English fiction > English {except North American} > Literature > Modern Period	5137CFE667A57BC6A5BA3C7B2F11B48D	2000-06-17	17.85
61	Do Androids Dream of Electric Sheep?	Dick	Philip K.	https://philipdick.com/	Del Rey	1987	Paperback	272	English	PS3554.I3	0345350472	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	66BAF262012300CDD18ECFE274214983	2016-03-02	12.12
62	Rusalka	Cherryh	C. J.	https://cherryh.com/	Del Rey	1989	Hardcover	374	English	PS3553.H358 R8	0345359534	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	64F75990BD735ACCA26BD787863BE83A	1999-08-21	10.78
63	The Caves of Steel	Asimov	Isaac		Spectra	1991	Paperback	288	English	PS3551.S5	0553293400	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	91EB2E844201C1EA29D5AC7D556BA50C	2013-08-22	14.28
64	The Caves of Steel	Asimov	Isaac		Spectra	1991	Paperback	288	English	PS3551.S5	0553293400	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	1D36244EE7E697308C6E5E67B42ABE18	2007-10-17	15.88
65	The Caves of Steel	Asimov	Isaac		Spectra	1991	Paperback	288	English	PS3551.S5	0553293400	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	3D6FA2079AEF042A076ADD698511595C	2004-04-29	13.76
66	The Way of Kings	Sanderson	Brandon	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2020	Hardcover			PS3619.A533	978-1-938570-22-3	813.6	21st Century > American fiction > English (North America) > Literature	B7B7860BC0C30E0A083BBB1BB254D4CF	2022-11-08	19.86
67	The Conan Chronicles	Jordan	Robert		Tor Books	1995	Hardcover	512	English	PS3560.O7617 A6	0312859295	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	D0BAB90F0F176EDD1D1E2F78D386C93B	2003-03-27	8.63
68	Sky Raiders	Mull	Brandon	http://brandonmull.com/	Aladdin	2014	Hardcover	432	English	PZ7.M9112 S	1442497009	813.6	21st Century > American fiction > English (North America) > Literature	21E3AACC12149CEF40A56DB4817B8476	2016-06-22	16.22
69	Thunderbolt's Waxwork	Pullman	Philip	http://philip-pullman.com/	Puffin	1996	Paperback	128		PR6066.U44	0140364102	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	4D690320430EA719E78DBA30721322E2	1999-06-30	9.90
70	Epic: Legends of Fantasy	Adams	John Joseph	https://www.johnjosephadams.com/	Tachyon Publications	2012	Paperback	608	English	PR830.F3 E653	1616960841	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction	D9A2FBEBF4F49B8645BC8F73CDA6218E	2021-04-22	13.46
71	Epic: Legends of Fantasy	Adams	John Joseph	https://www.johnjosephadams.com/	Tachyon Publications	2016	Paperback	608	English	PR830.F3 E653	978747224364X	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction	C3B365EB39C15C50F62B4EC62824AD04	2017-07-07	19.11
72	Epic: Legends of Fantasy	Adams	John Joseph	https://www.johnjosephadams.com/	Tachyon Publications	2016	Paperback	608	English	PR830.F3 E653	978747224364X	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction	C4ECB50C14111FA9D06A398EF07803A2	2019-06-09	13.46
73	Death Note, Vol. 10	Ohba	Tsugumi		VIZ Media LLC	2007	Paperback	208	English	PN6790.J34 D4813	142151155X	741.5952	Asian > Cartoons, Caricatures, Comics > Collections > Drawing &  drawings > Graphic arts and decorative arts > Japanese > The arts	6A2D58AB11B25C7F26E5B5AD40B2DF10	2011-02-23	11.89
74	Made to Stick: Why Some Ideas Survive and Others Die	Heath	Chip		Random House	2007	Hardcover	291	English	HM1033 .H43	1400064287	302.13	General topics of social interaction > Social Interaction > Social Sciences > Social choice > Social sciences	25893C08E9423E9B3EA8F3C919CE88A3	2022-04-26	10.49
75	Made to Stick: Why Some Ideas Survive and Others Die	Heath	Chip		Random House	2007	Hardcover	291	English	HM1033 .H43	1400064287	302.13	General topics of social interaction > Social Interaction > Social Sciences > Social choice > Social sciences	811750C0D085DA4AFC81750DC83A52BA	2019-03-29	13.10
76	Danny, the Champion of the World	Dahl	Roald	https://www.roalddahl.com/	Puffin	1998	Paperback	224	English	PZ7.D1515 D	0141301147	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	6B6433407FF8E8B2B237E8036EF7635B	2010-12-31	13.31
78	Cloud Atlas	Mitchell	David		Sceptre	2004	Hardcover	544	English	PR6063.I785	0340822775	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	52FB2AFADD8216B0453A72F4AFC20581	2014-07-19	17.02
79	Cloud Atlas	Mitchell	David		Sceptre	2004	Hardcover	544	English	PR6063.I785	0340822775	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period	AB334302404EA76AB17968A47AA548DD	2011-02-09	5.97
80	The Great Hunt	Jordan	Robert		Tor Books	1990	Hardcover	600	English	PS3560.O7617 G74	0312851405	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	26CA916FDC3466E7809D9366DD1BB9DA	1994-01-22	16.43
81	Leviathan Wakes	Corey	James S.A.	https://www.jamessacorey.com/	Orbit	2011	Paperback	592	English	PS3601.B677	0316129089	813.6	21st Century > American fiction > English (North America) > Literature	92C57ED9A13A61D5CAAC9AAA141BFF47	2011-11-28	14.86
82	Leviathan Wakes	Corey	James S.A.	https://www.jamessacorey.com/	Orbit	2011	Paperback	592	English	PS3601.B677	0316129089	813.6	21st Century > American fiction > English (North America) > Literature	302DA8A3DCA053C3536FCC71522AF7AA	2013-04-07	6.75
83	Emotional Design	Norman	Don		Basic Books	2003	Hardcover	272	English	BF531 .N67	0465051359	745.2019	Decorative Arts > Graphic arts and decorative arts > Industrial > Philosophy And Psychology > The arts	0647F3448D82C0E56712E4AFD791A28A	2008-03-05	12.44
84	Emotional Design	Norman	Don		Basic Books	2003	Hardcover	272	English	BF531 .N67	0465051359	745.2019	Decorative Arts > Graphic arts and decorative arts > Industrial > Philosophy And Psychology > The arts	4EA1145231DE6E9208FD6E411410FE6C	2013-09-20	9.85
85	Emotional Design	Norman	Don		Basic Books	2003	Hardcover	272	English	BF531 .N67	0465051359	745.2019	Decorative Arts > Graphic arts and decorative arts > Industrial > Philosophy And Psychology > The arts	3A2546D8F19194DE2C0D00C2966A8564	2021-02-24	15.51
86	Grip of the Shadow Plague	Mull	Brandon	http://brandonmull.com/	Clearway Logistics Phase 1a	2008	Hardcover	487	English	PZ7.M9112 G	9781590388983	813.6	21st Century > American fiction > English (North America) > Literature	A90CFF4104BA78669D7D8FBDDEE1B91B	2009-07-30	7.65
87	River of Gods	McDonald	Ian		Pyr	2006	Hardcover	599	English	PR6063.C38 R58	1591024366	813	American fiction > English (North America) > Literature	2317B3B0C90F5DD40F47FFD9E966C4EB	2022-05-06	5.08
88	River of Gods	McDonald	Ian		Pyr	2009	Hardcover	599	English	PR6063.C38 R58	9783032040433	813	American fiction > English (North America) > Literature	063860A7C87012BA5A9A79675971E895	2017-09-22	13.93
89	River of Gods	McDonald	Ian		Pyr	2009	Hardcover	599	English	PR6063.C38 R58	9783032040433	813	American fiction > English (North America) > Literature	E333565665C33C8225154C79D6E60C7B	2010-03-27	6.78
90	River of Gods	McDonald	Ian		Pyr	2009	Hardcover	599	English	PR6063.C38 R58	9783032040433	813	American fiction > English (North America) > Literature	8B559B464EC49F04C1FA420258706172	2009-09-24	12.59
91	Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future	Vance	Ashlee		Ecco	2015	Hardcover		English	HC102.M88 V36	9780062301239	338.7	Business Enterprises > Economics > Production > Social sciences	1EDBED04883E8581139F370136573F0A	2017-07-23	11.44
92	The History of Akbar, Volume 4	Abu'l-Fazl			Harvard University Press	2018	Hardcover	656	English		0674975030			3660FF2CCCB34FC5A4C06D387B3D0560	2018-04-12	12.94
93	Hannibal's War	Livy			Oxford University Press	2009	Paperback	800	English	PA6452 .C1	0199555974	355	Military Science > Public Administration, Military Science > Social sciences	C29C849C5E9452E9690D51AF23EA38E1	2013-08-15	9.75
94	Information Architecture: For the Web and Beyond	Rosenfeld	Louis		O'Reilly Media	2015	Paperback	486	English	TK5105 .R67	1491911689	5.7	Computer programming, programs, data, security > Computing and Information > Data > Information	7E85F5F5A7CF85CD221FA30D4BFEAFB2	2015-08-24	8.91
95	Dirk Gently's Holistic Detective Agency	Adams	Douglas	https://www.douglasadams.com/	Tor Books	1988	Paperback	256	English	PR6051.D3352	0330301624	813	American fiction > English (North America) > Literature	60135C25BA8776D64EC91AC375F05EDF	1998-05-22	8.07
96	Dragonshadow	Hambly	Barbara	http://www.barbarahambly.com/	Del Rey	1999	Hardcover	297	English	PS3558.A4215 D73	0345421876	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	B53091578834603BF44504C2FCFDA39B	2010-11-25	9.27
97	How To Cook Everything: Simple Recipes for Great Food	Bittman	Mark		Wiley	2006	Paperback	960		TX714 .B573	0471789186	641	Food And Drink > Home and family management > Technology and Application of Knowledge	2C8917011B546B4256396930E7195C4F	2016-09-29	15.68
98	How To Cook Everything: Simple Recipes for Great Food	Bittman	Mark		Wiley	2006	Paperback	960		TX714 .B573	0471789186	641	Food And Drink > Home and family management > Technology and Application of Knowledge	7275BD85BA9666F0EE54BF92E0C15445	2009-08-01	18.69
99	How To Cook Everything: Simple Recipes for Great Food	Bittman	Mark		Wiley	2006	Paperback	960		TX714 .B573	0471789186	641	Food And Drink > Home and family management > Technology and Application of Knowledge	CF38D34CA9C2403BEAA45BCBC2EA56E4	2008-12-23	8.03
100	The Great Automatic Grammatizator: And Other Stories	Dahl	Roald	https://www.roalddahl.com/	Puffin	2001	Paperback	272	English	PZ7.D1515 U	0141311509	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period	8449219063AE8CDC45690E41D94B3272	2007-12-10	12.10
101	Wild Seed	Butler	Octavia E.		Aspect	1999	Paperback	288	English	PS3552.U827 W5	0446606723	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature	61082744E7B2873F4A0F53A82E45BEB9	2018-01-10	14.61
102	When We Were Very Young	Milne	A. A.		Dell	1992	Paperback	112	English	PZ8.M6354 W	0140361235	821.912	1900-1944 > 20th Century > English poetry > English {except North American} > Literature > Modern period 1900-	F4D079185E7B02BBB5436E35546357C9	2009-04-03	9.32
103	Peter Pan	Barrie	J. M.		Waldman Publishing Corp.	2008	Paperback	240	English	PZ7.B27539	1603400656	745	Decorative Arts > Graphic arts and decorative arts > The arts	981397EFCF9AA48EDF83E76FBE020FDC	2008-05-30	5.18
104	Unfettered II	Sanderson	Brandon	https://www.brandonsanderson.com/	Grim Oak Press	2016	Hardcover	567	English	PS648.F3 U5342	1944145052	813.6	21st Century > American fiction > English (North America) > Literature	0A6095780A174C5E31F2111F9B278D8F	2017-07-14	19.32
