Title	Author First Name	Author Last Name	Author Website	Publisher	Publication Year	ISBN	Barcode	Acquisition Date	Acquisition Price
The Call of the Wild	Jack	London		Aerie	1990	08125-043-2-1	AF04-6E6B-BB95-06E2	2010-05-04	$5.65
Ship of Destiny	Robin	Hobb	http://www.robinhobb.com/	Spectra	2000	0-55310-323-7	30F5-8631-57BD-4E46	2000-07-05	$6.54
The User Experience Team of One: A Research and Design Survival Guide	Leah	Buley		Rosenfeld Media	2013	1-933-82018-7	2FFE-00E5-7113-93DF	2020-05-02	$10.43
The Remarkable Journey of Prince Jen	Lloyd	Alexander		Dutton Juvenile	1991	0-52-544826-8	447C-E456-D1DF-4783	2000-11-10	$8.58
Rome's Italian Wars: Books 6-10		Livy		Oxford University Press	2013	019-95648-5-X	A299-0495-3590-DF3F	2013-01-28	$15.68
As We Saw Them: The First Japanese Embassy to the United States	Masao	Miyoshi		Kodansha USA	1994	15-68360-28-2	3D18-77D9-50D1-0FB4	2005-11-27	$9.81
Jane Eyre	Charlotte	Bronte		Rupa & Co.	2001	8171-675-02-6	D29F-5267-70D0-8341	2002-04-21	$6.46
Jane Eyre	Charlotte	Bronte		Rupa & Co.	2001	8171-675-02-6	F390-A94D-8107-38F3	2019-04-14	$7.40
Jane Eyre	Charlotte	Bronte		Rupa & Co.	2001	8171-675-02-6	CA55-7537-E5CC-A0DB	2002-04-05	$19.24
Mistborn: Secret History	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2022	1-25-085914-X	659F-7A52-76E0-169F	2022-07-13	$17.27
The Interpretation of Dreams	Sigmund	Freud		Avon	1980	03-800-1000-3	8095-EF0E-D7AB-CDA9	1981-03-03	$6.48
The Rithmatist	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Teen	2013	0-7-6532032-0	8EDF-A1A6-0D7A-8A4C	2019-05-19	$16.70
The Curse of Chalion	Lois McMaster	Bujold	http://www.dendarii.com/	HarperTorch	2002	03-80-81860-4	1ACA-4DB6-C364-0BFD	2019-02-03	$8.25
The Curse of Chalion	Lois McMaster	Bujold	http://www.dendarii.com/	HarperTorch	2006	96-3967-692-5	DBD1-3FBB-C1A9-EE06	2019-12-19	$12.84
Watership Down	Richard	Adams		Scribner	1996	06-848-3605-X	DFF2-50D8-BC5B-D676	2003-08-05	$8.72
Best Served Cold	Joe	Abercrombie	https://joeabercrombie.com/	Orbit	2010	0316044-9-5-4	9BB0-D632-C064-0229	2014-06-01	$6.06
xkcd: volume 0	Randall	Munroe	https://xkcd.com/	Breadpig	2010	061-5-31446-5	3FC8-3B11-7C14-A211	2012-08-29	$7.47
Prelude to Foundation	Isaac	Asimov		Spectra	1991	0-553-27839-8	ADDF-9CA4-C0E9-8203	1996-05-02	$15.48
Boy: Tales of Childhood	Roald	Dahl	https://www.roalddahl.com/	Puffin	1999	0-141-30305-0	431E-07BA-D0D9-8BE4	2006-09-12	$17.21
Heroic Hearts	Jim	Butcher	https://www.jim-butcher.com/	Ace Books	2022	0-5-9309918-4	D34D-0A49-544A-2FFC	2022-05-10	$6.79
Armada	Ernest	Cline	http://www.ernestcline.com/	Crown	2015	080-4-13725-0	134A-FC61-9098-AAE2	2017-02-15	$12.90
Armada	Ernest	Cline	http://www.ernestcline.com/	Crown	2015	080-4-13725-0	A08D-512A-8049-AA1D	2021-11-04	$8.38
Lord of Chaos	Robert	Jordan		Tor Fantasy	1995	0812-51-375-4	212A-409D-9AC6-04D0	2018-12-02	$15.46
Lord of Chaos	Robert	Jordan		Tor Fantasy	1997	7108-8-7471-9	C062-653E-15DC-F568	2004-07-20	$5.61
Thief of Time	Terry	Pratchett	http://terrypratchettbooks.com/	HarperTorch	2002	0-0610-3132-1	2299-A612-7735-10F0	2016-11-14	$9.16
Tales of Neveryon	Samuel R.	Delany		Bantam Books	1979	055-31233-3-5	AE08-052E-EE10-2658	2009-11-06	$18.10
Curtain	Agatha	Christie	https://www.agathachristie.com/	Dodd, Mead	1975	0-39-607191-0	3A7F-3D6C-F034-6CB6	2004-08-19	$9.17
Do Androids Dream of Electric Sheep?	Philip K.	Dick	https://philipdick.com/	Del Rey	1987	0-3-4535047-2	2E56-E609-163A-D4BE	1996-12-23	$17.81
Rusalka	C. J.	Cherryh	https://cherryh.com/	Del Rey	1989	0-34-535953-4	C7C5-0B1C-0601-3AF3	2018-03-01	$8.13
The Caves of Steel	Isaac	Asimov		Spectra	1991	055-32-9340-0	9A27-6D47-8214-9C5C	2012-11-19	$17.67
The Caves of Steel	Isaac	Asimov		Spectra	1998	5-9085-7129-5	51F6-B2D2-19BF-E5EC	2005-06-08	$6.87
The Caves of Steel	Isaac	Asimov		Spectra	1998	5-9085-7129-5	EDAB-A7A8-7D53-13FE	2019-11-19	$16.95
The Caves of Steel	Isaac	Asimov		Spectra	1998	5-9085-7129-5	F482-EA98-55E8-C42A	2007-05-21	$10.15
The Way of Kings	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2020	978-1-938570-22-3	B277-55D5-BB3D-8336	2021-04-12	$8.05
The Way of Kings	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2020	978-1-938570-22-3	9EE6-5673-ED2C-70D1	2022-03-18	$19.57
The Conan Chronicles	Robert	Jordan		Tor Books	1995	03-1-285929-5	A439-690E-9947-E85D	2010-10-21	$14.89
Sky Raiders	Brandon	Mull	http://brandonmull.com/	Aladdin	2014	14-4-249700-9	20EC-6117-3D03-BC58	2021-12-18	$7.57
Sky Raiders	Brandon	Mull	http://brandonmull.com/	Aladdin	2014	14-4-249700-9	5F2D-86EE-53CF-8C3E	2016-06-16	$13.32
Sky Raiders	Brandon	Mull	http://brandonmull.com/	Aladdin	2014	14-4-249700-9	5C17-D9F0-7FED-E627	2018-02-23	$8.79
Thunderbolt's Waxwork	Philip	Pullman	http://philip-pullman.com/	Puffin	1996	01-4-036410-2	B957-6B25-96F9-C5F8	2021-09-29	$14.51
Epic: Legends of Fantasy	John Joseph	Adams	https://www.johnjosephadams.com/	Tachyon Publications	2012	161-6960-84-1	7039-D520-554E-838A	2018-06-11	$5.43
Epic: Legends of Fantasy	John Joseph	Adams	https://www.johnjosephadams.com/	Tachyon Publications	2014	978-4430-754-60-4	4A6A-2436-6726-2DAB	2017-09-12	$19.78
Death Note, Vol. 10	Tsugumi	Ohba		VIZ Media LLC	2007	1421-51-155-X	A2A6-F3F8-BB13-E29E	2010-04-15	$14.79
Made to Stick: Why Some Ideas Survive and Others Die	Chip	Heath		Random House	2007	14000-6-428-7	FAE9-2E59-8DC4-2C86	2011-09-09	$7.71
Danny, the Champion of the World	Roald	Dahl	https://www.roalddahl.com/	Puffin	1998	0-1-4130114-7	D05C-3829-CEE1-218B	2010-12-29	$11.19
Danny, the Champion of the World	Roald	Dahl	https://www.roalddahl.com/	Puffin	1998	0-1-4130114-7	9958-03B6-C00C-AC37	2017-03-19	$16.07
Piranesi	Susanna	Clarke		Bloomsbury	2020	16-35-57563-X	B639-E688-E3CE-FB93	2021-07-28	$9.48
Cloud Atlas	David	Mitchell		Sceptre	2004	0340-8227-7-5	954B-DF0F-FBE6-CA34	2004-04-27	$8.76
The Great Hunt	Robert	Jordan		Tor Books	1990	0-312-85140-5	6A09-16FE-B92E-E5B4	2020-05-03	$10.31
Leviathan Wakes	James S.A.	Corey	https://www.jamessacorey.com/	Orbit	2011	0-3-1612908-9	DE19-E26A-53BF-4515	2019-01-08	$16.44
Leviathan Wakes	James S.A.	Corey	https://www.jamessacorey.com/	Orbit	2011	0-3-1612908-9	999E-1F0E-BFD4-2098	2019-01-12	$15.63
Leviathan Wakes	James S.A.	Corey	https://www.jamessacorey.com/	Orbit	2011	0-3-1612908-9	564C-64F5-9216-9FF5	2021-09-04	$7.20
Emotional Design	Don	Norman		Basic Books	2003	0-46-505135-9	F584-6031-CF53-F7EF	2020-04-27	$12.62
Grip of the Shadow Plague	Brandon	Mull	http://brandonmull.com/	Clearway Logistics Phase 1a	2008	978-1-59-038898-3	A4B9-2283-34E8-6ACE	2008-03-10	$5.86
River of Gods	Ian	McDonald		Pyr	2006	159-1-02436-6	D47D-AB3B-69AB-9A70	2011-04-18	$16.13
Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future	Ashlee	Vance		Ecco	2015	978-00-62-30123-9	8DA9-926D-3019-1495	2015-12-31	$12.49
The History of Akbar, Volume 4		Abu'l-Fazl		Harvard University Press	2018	0-67-497503-0	918F-DE19-B1A2-D964	2019-03-05	$15.28
Hannibal's War		Livy		Oxford University Press	2009	01-99555-97-4	0AAC-2895-5A02-3082	2019-08-22	$7.25
Hannibal's War		Livy		Oxford University Press	2009	01-99555-97-4	BB87-C87B-217F-9DB5	2022-10-16	$15.58
Information Architecture: For the Web and Beyond	Louis	Rosenfeld		O'Reilly Media	2015	1-49-191168-9	66CE-ED87-A51C-A034	2021-09-11	$14.52
Dirk Gently's Holistic Detective Agency	Douglas	Adams	https://www.douglasadams.com/	Tor Books	1988	0-330301-62-4	914B-EF97-1B1E-264C	2011-12-09	$19.45
Dirk Gently's Holistic Detective Agency	Douglas	Adams	https://www.douglasadams.com/	Tor Books	1988	0-330301-62-4	88EF-6033-03D4-6185	1995-06-06	$14.13
Dirk Gently's Holistic Detective Agency	Douglas	Adams	https://www.douglasadams.com/	Tor Books	1988	0-330301-62-4	1ADB-E5FA-FC1D-E69D	2005-03-27	$15.60
Dragonshadow	Barbara	Hambly	http://www.barbarahambly.com/	Del Rey	1999	03454-21-87-6	057E-D84B-F395-1B2A	2005-09-03	$16.91
How To Cook Everything: Simple Recipes for Great Food	Mark	Bittman		Wiley	2006	0-47-178918-6	A9C7-080F-3EDA-50D7	2016-08-29	$16.97
The Great Automatic Grammatizator: And Other Stories	Roald	Dahl	https://www.roalddahl.com/	Puffin	2001	0-1413-1150-9	8565-904C-8DD9-3689	2001-05-13	$13.25
Wild Seed	Octavia E.	Butler		Aspect	1999	044-6-60672-3	C36E-C880-C90D-8732	2019-06-14	$7.02
Wild Seed	Octavia E.	Butler		Aspect	1999	044-6-60672-3	262B-7837-C966-32EC	2007-01-20	$8.32
When We Were Very Young	A. A.	Milne		Dell	1992	014-0-36123-5	D6E8-F6D1-FC03-A863	1993-01-15	$16.92
Peter Pan	J. M.	Barrie		Waldman Publishing Corp.	2008	1-603-40065-6	EE41-D2B3-A216-464C	2012-06-05	$19.50
Unfettered II	Brandon	Sanderson	https://www.brandonsanderson.com/	Grim Oak Press	2016	1-944-14505-2	475A-BC58-1F23-3DB3	2018-02-08	$9.82
The Knights of Crystallia	Brandon	Sanderson	https://www.brandonsanderson.com/	Scholastic Press	2009	0-4-3992555-X	0CA7-BF7B-8808-BDFB	2018-02-08	$16.13
Servant of the Underworld	Aliette	de Bodard		JABberwocky Literary Agency, Inc.	2016	16-2567-204-7	6115-2674-159C-9427	2019-02-05	$12.23
Borders of Infinity	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	1989	067-1698-41-9	90BF-8723-12CF-CC85	2012-09-26	$12.82
Lords and Ladies	Terry	Pratchett	http://terrypratchettbooks.com/	HarperTorch	1996	00-610569-2-8	EABE-8331-952A-D36E	1997-10-05	$10.50
Four-Season Harvest: Organic Vegetables from Your Home Garden All Year Long, 2nd Edition	Eliot	Coleman		Chelsea Green Publishing	1999	1-89-013227-6	C2D5-066A-7D3E-296E	2018-01-23	$13.40
Uncle Tungsten: Memories of a Chemical Boyhood	Oliver	Sacks	https://oliversacks.com/	Vintage	2002	03-7570-404-3	79A7-B287-8CAD-F7DE	2010-01-05	$19.65
Uncle Tungsten: Memories of a Chemical Boyhood	Oliver	Sacks	https://oliversacks.com/	Vintage	2002	03-7570-404-3	F1DE-F353-EDA6-B47E	2006-09-03	$19.89
The Great Hunt	Robert	Jordan		Tor Fantasy	1991	081251-77-2-5	2497-7F3D-A944-7257	1996-02-20	$11.61
The Great Hunt	Robert	Jordan		Tor Fantasy	1991	081251-77-2-5	D323-AEB6-8628-5B72	2015-12-08	$15.29
Good to Great and the Social Sectors: Why Business Thinking is Not the Answer	Jim	Collins	https://www.jimcollins.com/	HarperCollins	2005	0-9-7732640-3	3D2B-CD4E-BF06-37B3	2011-08-28	$14.38
The Robots of Dawn	Isaac	Asimov		Doubleday	1983	0-3-8518400-X	8D3B-715D-353E-90D5	1989-02-17	$14.17
The Robots of Dawn	Isaac	Asimov		Doubleday	1986	61-1514-150-0	9885-B246-0129-7B71	2015-03-15	$18.93
The Robots of Dawn	Isaac	Asimov		Doubleday	1986	61-1514-150-0	F1BF-6D31-F799-A7C9	1986-02-15	$16.29
The Vicar of Nibbleswicke	Roald	Dahl	https://www.roalddahl.com/	Puffin	1994	0-1403-6837-X	DC7A-A457-E7BE-75B9	1997-11-18	$6.38
The Vicar of Nibbleswicke	Roald	Dahl	https://www.roalddahl.com/	Puffin	1994	0-1403-6837-X	0DFC-B30D-CAA3-7C14	2021-12-20	$14.41
The Vicar of Nibbleswicke	Roald	Dahl	https://www.roalddahl.com/	Puffin	1999	5-9-1696796-9	BAB5-2EF1-4985-C266	2002-11-30	$5.13
Naked Sun	Isaac	Asimov		Grafton	1993	058601-01-6-5	0381-108B-6219-8044	2000-04-13	$19.04
Naked Sun	Isaac	Asimov		Grafton	1993	058601-01-6-5	6189-A9CC-71CE-6B7A	1997-07-31	$11.08
The Secret History of Mac Gaming	Richard	Moss		Unbound	2018	17-8352-486-3	9A79-758C-28FE-E2CE	2021-01-20	$17.72
The Sandman Vol. 5: A Game of You	Neil	Gaiman	https://neilgaiman.com/	Vertigo	1993	1563-8-9089-5	089B-10E7-8797-1D27	1999-07-09	$10.36
Showa 1926-1939: A History of Japan	Shigeru	Mizuki		Drawn and Quarterly	2013	17704-613-5-3	25B2-E26A-5F2D-6895	2019-06-02	$12.31
Artificial Intelligence Illuminated	Ben	Coppin		Jones & Bartlett Learning	2004	0763-7-3230-3	D6CB-4B05-28F4-1F47	2010-02-21	$6.31
In Cold Blood	Truman	Capote		Vintage	1994	06-797455-8-0	24D9-5EBC-E316-8197	2006-10-23	$10.19
In Cold Blood	Truman	Capote		Vintage	1994	06-797455-8-0	C4BA-FDEF-6CD5-B4A6	2013-11-29	$11.14
The Compass Rose	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Spectra	1983	0-5-5323512-5	D87B-363B-2D90-83A2	2016-06-25	$14.10
Therigatha: Poems of the First Buddhist Women	Charles	Hallisey		Harvard University Press	2015	067-4-42773-4	9213-FFF4-1224-F2C0	2016-07-24	$9.20
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher	Richard	Feynman	http://richardfeynman.com/	Basic Books	2005	0-4-6502392-4	F3ED-DFC3-1010-C5B8	2014-08-13	$12.22
Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days	Jake	Knapp		Simon & Schuster	2016	05-930-7611-7	1F7D-71A9-CF48-48BF	2019-03-19	$11.26
A Civil Campaign: A Comedy of Biology and Manners	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	1999	067-1578-27-8	E87F-D60B-CE53-6ED4	2014-12-07	$12.32
A Civil Campaign: A Comedy of Biology and Manners	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	2007	978-24-804454-1-2	855D-8435-F724-45AA	2012-01-26	$17.14
A Civil Campaign: A Comedy of Biology and Manners	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	2007	978-24-804454-1-2	0CD7-9391-CF54-D03B	2019-04-14	$12.87
The Hollow Boy	Jonathan	Stroud	http://jonathanstroud.com/	Disney-Hyperion	2015	1484-709-68-3	68CC-9FF7-73AB-7CED	2019-01-25	$6.16
Only You Can Save Mankind	Terry	Pratchett	http://terrypratchettbooks.com/	Corgi	2004	055-255-111-2	D051-D7D8-E489-C01F	2011-07-14	$6.60
The Shadow Rising	Robert	Jordan		Tor Books	1992	03128-543-1-5	9A5B-D234-8D80-FCBD	2012-07-27	$13.57
The Complete Adventures of Charlie and Mr Willy Wonka	Roald	Dahl	https://www.roalddahl.com/	Puffin	2001	0-1413113-1-2	EC8E-26F7-FBAE-72B6	2016-02-08	$14.89
The Wizard in the Tree	Lloyd	Alexander		Dutton Juvenile	1974	0-5254312-8-4	F549-5A47-9DD4-A871	2013-05-10	$8.86
Into the Narrowdark	Tad	Williams	https://www.tadwilliams.com/	DAW	2022	0-7-5641064-9	5A78-D750-D8EC-59EC	2022-11-19	$8.36
The Perfect Thing: How the iPod Shuffles Commerce, Culture, and Coolness	Steven	Levy	https://stevenlevy.com/	Simon & Schuster	2006	07-4-328522-0	AEBC-2B73-43AF-4214	2018-09-13	$15.58
The Theory Of Everything	Stephen	Hawking	https://www.hawking.org.uk/	Jaico Publishing House	2007	81799-2-591-9	C92D-6C73-78D3-38A6	2010-12-05	$16.88
UX for Lean Startups: Faster, Smarter User Experience Research and Design	Laura	Klein		O'Reilly Media	2018	149-204-958-1	1C40-7B11-1C3D-1294	2020-06-30	$13.27
Summer Knight	Jim	Butcher	https://www.jim-butcher.com/	Roc	2002	04-514-5892-3	2958-E86E-7138-52B3	2010-02-22	$19.08
Pure Magic	Rachel	Neumeier	https://www.rachelneumeier.com/	CreateSpace	2015	1-5141-1844-0	4C0D-2592-4125-2589	2016-02-09	$9.31
Assassin's Quest: The Illustrated Edition	Robin	Hobb	http://www.robinhobb.com/	Del Rey	2021	059-31-5793-1	3563-6358-E468-E54A	2022-04-21	$13.03
Gregor and the Prophecy of Bane	Suzanne	Collins	http://www.suzannecollinsbooks.com/	Scholastic Press	2005	0-4-3965076-3	CA9B-6E9E-880B-45C8	2007-05-09	$6.13
Catherine the Great	Zoe	Oldenbourg		Random House	1965	03-9441-869-7	44C0-7D5F-76E9-6820	1988-03-03	$14.68
Barrayar	Lois McMaster	Bujold	http://www.dendarii.com/	NESFA Press	2012	1-8-8677893-0	BFBD-0255-DFEF-FB8F	2022-03-20	$9.35
Children of God	Mary Doria	Russell		Villard	1998	0-67-945635-X	5886-03A3-CB12-0D59	2020-11-06	$19.43
Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems	Martin	Kleppmann		O'Reilly Media	2017	144937-33-2-1	BA6F-27C7-9B5A-BD96	2021-04-27	$10.88
A World Without Heroes	Brandon	Mull	http://brandonmull.com/	Aladdin	2011	141-6-99792-X	01F0-7EB3-ECF9-5ADF	2017-07-31	$7.72
A World Without Heroes	Brandon	Mull	http://brandonmull.com/	Aladdin	2017	978-7-8-9230520-8	939D-B7FF-FECB-614A	2020-05-17	$19.47
Death Comes As the End	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1972	06-71-77445-X	677C-4B43-1E41-62BF	2020-08-24	$13.96
A Wizard of Earthsea	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Spectra	2004	0-5-5338304-3	BA11-E351-67B2-C349	2016-05-15	$9.49
Dreamweaver's Dilemma	Lois McMaster	Bujold	http://www.dendarii.com/	NESFA Press	1997	0-9-1536853-6	8BB9-EE3D-A776-C5A1	2017-05-04	$6.76
The Alliance: Managing Talent in the Networked Age	Reid	Hoffman	https://www.reidhoffman.org/	Harvard Business Review Press	2014	978-1-6-2527577-6	BC52-5998-F9DC-3DBF	2016-06-07	$6.16
The Pride of Chanur	C. J.	Cherryh	https://cherryh.com/	DAW	1982	0886772-9-2-3	D16A-9632-DA63-8481	2001-05-21	$7.49
The Toll-Gate	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2011	14-02-23881-9	1F44-20E8-B49E-1CE7	2022-08-02	$8.43
The Lie Tree	Frances	Hardinge	http://www.franceshardinge.com/	Harry N. Abrams	2016	141-97-1895-9	794E-D07E-3209-E16E	2017-12-24	$15.93
Gregor The Overlander	Suzanne	Collins	http://www.suzannecollinsbooks.com/	Scholastic Press	2004	0-43967-813-7	E13C-2C52-5856-EF9D	2020-09-10	$19.70
Elantris	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2005	0765-3117-7-1	848A-A71D-66D7-71B1	2008-10-22	$7.87
Elantris	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2005	0765-3117-7-1	DADA-4F7C-2D6C-CFA4	2005-01-31	$16.46
Elantris	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2005	0765-3117-7-1	FFAF-CE91-4CD5-DCCD	2014-02-28	$14.80
The Foundling	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2009	978-1-4022194-8-1	4A46-E639-302A-5BF4	2009-06-13	$17.47
Shadows of Self	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2015	0765-3785-5-8	EDE2-3D7F-349A-F990	2019-02-23	$13.83
A Swiftly Tilting Planet	Madeleine	L'Engle		Bantam Doubleday Dell	1996	044-090-158-8	386D-375C-A1E3-BA43	2021-08-09	$14.30
Tales of the Greek Heroes	Roger Lancelyn	Green		Puffin	2009	01-41-32528-3	ADD7-7BEE-B02D-73D8	2017-12-11	$12.97
Tales of the Greek Heroes	Roger Lancelyn	Green		Puffin	2009	01-41-32528-3	E685-4DBC-300A-F301	2022-11-18	$16.61
The Will to Battle: Book 3 of Terra Ignota	Ada	Palmer	https://www.adapalmer.com/	Tor Books	2017	0-76-537804-3	A357-0B47-211D-3215	2018-12-04	$11.96
The Will to Battle: Book 3 of Terra Ignota	Ada	Palmer	https://www.adapalmer.com/	Tor Books	2017	0-76-537804-3	4154-12CA-A805-41F0	2018-04-10	$17.80
The Sandman: Endless Nights	Neil	Gaiman	https://neilgaiman.com/	Vertigo	2004	1-4-0120113-X	840A-9A39-515C-D53C	2017-01-04	$7.99
The Sandman: Endless Nights	Neil	Gaiman	https://neilgaiman.com/	Vertigo	2017	978-21-81-73387-5	3202-62E3-039E-C4A2	2018-05-31	$14.71
The BFG	Roald	Dahl	https://www.roalddahl.com/	Puffin	2007	0-14132-262-4	908C-7766-34F5-B29E	2022-10-15	$13.81
The BFG	Roald	Dahl	https://www.roalddahl.com/	Puffin	2007	0-14132-262-4	0A16-134E-A699-DFF5	2007-04-20	$19.78
The BFG	Roald	Dahl	https://www.roalddahl.com/	Puffin	2007	0-14132-262-4	1932-6057-82E7-6075	2022-08-27	$17.73
Good to Great: Why Some Companies Make the Leap and Others Don't	Jim	Collins	https://www.jimcollins.com/	Harper Business	2001	978-0066-6209-9-2	560D-8723-98E9-9483	2017-04-18	$18.02
Interviewing Users: How to Uncover Compelling Insights	Steve	Portigal		Rosenfeld Media	2013	19-33-82011-X	84D8-8694-5617-2C06	2018-10-09	$17.36
Winnie-the-Pooh	A. A.	Milne		Dutton Juvenile	1988	052544-44-3-2	F68D-38C7-0CF2-3F9A	1996-09-25	$5.50
Law of the Broken Earth	Rachel	Neumeier	https://www.rachelneumeier.com/	Orbit	2010	0-31-607993-6	74F2-6946-A303-9D4C	2014-12-19	$18.17
Lyra's Oxford	Philip	Pullman	http://philip-pullman.com/	Knopf Books for Young Readers	2007	037-58-4369-8	67B5-8C60-FC3E-9CC4	2016-10-10	$19.87
The Power of Habit: Why We Do What We Do in Life and Business	Charles	Duhigg		Random House	2012	14-0-006928-9	CD99-72B0-D6FD-7690	2012-02-27	$16.47
Content Strategy for the Web, 2nd Edition	Kristina	Halvorson		New Riders	2012	0-3218-0830-4	6EFC-29CE-A50A-FC8F	2012-10-10	$11.46
Content Strategy for the Web, 2nd Edition	Kristina	Halvorson		New Riders	2012	0-3218-0830-4	3EF9-1FBE-2C75-B472	2020-03-12	$18.18
Sparrows in the Wind	Gail Carson	Levine	https://gailcarsonlevine.com/	Quill Tree Books	2022	0063-0390-7-9	06EF-E61A-5046-1B8A	2022-09-09	$15.71
Warbreaker	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2019	978-1-93-857021-6	4FE0-82E7-7008-5E10	2019-04-10	$6.22
By the Pricking of My Thumbs	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1985	0671-542-08-7	E64C-E6A1-9F63-A2EC	1993-01-05	$19.93
Algorithm Design	Jon	Kleinberg		Addison Wesley	2005	032-129-535-8	FEA9-FFE1-B129-43BB	2012-08-23	$5.57
